	Coffee, Arabica
Year	($/kg)
1960M01	0.94
1960M02	0.95
1960M03	0.93
1960M04	0.93
1960M05	0.92
1960M06	0.91
1960M07	0.92
1960M08	0.93
1960M09	0.92
1960M10	0.92
1960M11	0.91
1960M12	0.90
1961M01	0.91
1961M02	0.92
1961M03	0.91
1961M04	0.90
1961M05	0.89
1961M06	0.89
1961M07	0.89
1961M08	0.89
1961M09	0.89
1961M10	0.89
1961M11	0.88
1961M12	0.88
1962M01	0.88
1962M02	0.88
1962M03	0.86
1962M04	0.85
1962M05	0.83
1962M06	0.80
1962M07	0.81
1962M08	0.82
1962M09	0.83
1962M10	0.81
1962M11	0.81
1962M12	0.82
1963M01	0.83
1963M02	0.80
1963M03	0.81
1963M04	0.81
1963M05	0.80
1963M06	0.80
1963M07	0.81
1963M08	0.80
1963M09	0.80
1963M10	0.80
1963M11	0.81
1963M12	0.80
1964M01	0.93
1964M02	0.94
1964M03	1.04
1964M04	1.00
1964M05	1.02
1964M06	1.01
1964M07	1.02
1964M08	1.05
1964M09	1.04
1964M10	1.04
1964M11	1.03
1964M12	1.01
1965M01	1.01
1965M02	1.04
1965M03	0.99
1965M04	0.97
1965M05	0.96
1965M06	0.98
1965M07	0.98
1965M08	1.00
1965M09	1.00
1965M10	1.01
1965M11	1.03
1965M12	1.03
1966M01	1.01
1966M02	0.97
1966M03	0.95
1966M04	0.95
1966M05	0.95
1966M06	0.92
1966M07	0.92
1966M08	0.92
1966M09	0.90
1966M10	0.89
1966M11	0.89
1966M12	0.87
1967M01	0.85
1967M02	0.84
1967M03	0.82
1967M04	0.85
1967M05	0.89
1967M06	0.91
1967M07	0.90
1967M08	0.88
1967M09	0.86
1967M10	0.85
1967M11	0.87
1967M12	0.85
1968M01	0.87
1968M02	0.87
1968M03	0.88
1968M04	0.89
1968M05	0.88
1968M06	0.89
1968M07	0.88
1968M08	0.87
1968M09	0.85
1968M10	0.85
1968M11	0.85
1968M12	0.83
1969M01	0.83
1969M02	0.84
1969M03	0.83
1969M04	0.81
1969M05	0.81
1969M06	0.80
1969M07	0.78
1969M08	0.81
1969M09	0.90
1969M10	1.04
1969M11	1.02
1969M12	1.05
1970M01	1.14
1970M02	1.15
1970M03	1.17
1970M04	1.20
